==============================
Processo, 0, tempo, 0.208338, Prioridade,-1
==============================
Processo, 4, tempo, 0.246366, Prioridade,-1
Processo, 2, tempo, 0.253473, Prioridade,-1
Processo, 1, tempo, 0.273669, Prioridade,-1
Processo, 0, tempo, 0.321567, Prioridade,-1
Processo, 3, tempo, 0.329196, Prioridade,-1
==============================
Processo, 8, tempo, 0.563787, Prioridade,-1
Processo, 2, tempo, 0.583941, Prioridade,-1
Processo, 6, tempo, 0.559577, Prioridade,-1
Processo, 7, tempo, 0.577706, Prioridade,-1
Processo, 0, tempo, 0.593599, Prioridade,-1
Processo, 5, tempo, 0.575276, Prioridade,-1
Processo, 9, tempo, 0.581087, Prioridade,-1
Processo, 4, tempo, 0.595045, Prioridade,-1
Processo, 1, tempo, 0.608825, Prioridade,-1
Processo, 3, tempo, 0.596152, Prioridade,-1
==============================
Processo, 8, tempo, 0.982310, Prioridade,-1
Processo, 4, tempo, 0.978361, Prioridade,-1
Processo, 2, tempo, 1.015100, Prioridade,-1
Processo, 5, tempo, 1.017048, Prioridade,-1
Processo, 6, tempo, 1.030381, Prioridade,-1
Processo, 17, tempo, 1.039758, Prioridade,-1
Processo, 9, tempo, 1.061074, Prioridade,-1
Processo, 7, tempo, 1.063429, Prioridade,-1
Processo, 11, tempo, 1.109172, Prioridade,-1
Processo, 1, tempo, 1.110609, Prioridade,-1
Processo, 12, tempo, 1.104598, Prioridade,-1
Processo, 14, tempo, 1.121225, Prioridade,-1
Processo, 16, tempo, 1.111709, Prioridade,-1
Processo, 18, tempo, 1.135225, Prioridade,-1
Processo, 3, tempo, 1.117103, Prioridade,-1
Processo, 15, tempo, 1.139304, Prioridade,-1
Processo, 0, tempo, 1.166846, Prioridade,-1
Processo, 13, tempo, 1.145420, Prioridade,-1
Processo, 19, tempo, 1.128087, Prioridade,-1
Processo, 10, tempo, 1.153036, Prioridade,-1
==============================
Processo, 23, tempo, 1.064369, Prioridade,-1
Processo, 24, tempo, 1.065511, Prioridade,-1
Processo, 17, tempo, 1.239342, Prioridade,-1
Processo, 21, tempo, 1.201234, Prioridade,-1
Processo, 19, tempo, 1.260104, Prioridade,-1
Processo, 7, tempo, 1.301525, Prioridade,-1
Processo, 2, tempo, 1.374741, Prioridade,-1
Processo, 16, tempo, 1.327387, Prioridade,-1
Processo, 13, tempo, 1.362361, Prioridade,-1
Processo, 4, tempo, 1.399469, Prioridade,-1
Processo, 6, tempo, 1.380139, Prioridade,-1
Processo, 14, tempo, 1.364336, Prioridade,-1
Processo, 1, tempo, 1.398349, Prioridade,-1
Processo, 3, tempo, 1.406731, Prioridade,-1
Processo, 9, tempo, 1.403245, Prioridade,-1
Processo, 18, tempo, 1.387837, Prioridade,-1
Processo, 15, tempo, 1.376402, Prioridade,-1
Processo, 5, tempo, 1.411752, Prioridade,-1
Processo, 0, tempo, 1.441106, Prioridade,-1
Processo, 20, tempo, 1.395766, Prioridade,-1
Processo, 22, tempo, 1.400335, Prioridade,-1
Processo, 10, tempo, 1.420315, Prioridade,-1
Processo, 8, tempo, 1.428264, Prioridade,-1
Processo, 11, tempo, 1.418130, Prioridade,-1
Processo, 12, tempo, 1.418133, Prioridade,-1
==============================
Processo, 7, tempo, 1.652699, Prioridade,-1
Processo, 5, tempo, 1.666012, Prioridade,-1
Processo, 1, tempo, 1.689636, Prioridade,-1
Processo, 6, tempo, 1.686921, Prioridade,-1
Processo, 9, tempo, 1.664005, Prioridade,-1
Processo, 0, tempo, 1.713019, Prioridade,-1
Processo, 15, tempo, 1.683170, Prioridade,-1
Processo, 10, tempo, 1.672305, Prioridade,-1
Processo, 26, tempo, 1.709481, Prioridade,-1
Processo, 29, tempo, 1.714384, Prioridade,-1
Processo, 28, tempo, 1.720629, Prioridade,-1
Processo, 25, tempo, 1.698404, Prioridade,-1
Processo, 3, tempo, 1.723228, Prioridade,-1
Processo, 22, tempo, 1.733957, Prioridade,-1
